Vx,Vy,Ax,Ay,yawrate,Steer_SW
49.8117275612313,-2.77074555978539e-15,-0.172130715404393,1.4938477591682e-15,5.19039843802337e-15,-1.62809685678262e-15
49.8081049781592,-2.78675120932462e-15,-0.172112251661061,-6.48368627652844e-16,5.39728590842016e-15,-1.65926884970845e-15
49.8044827718211,-2.79121781630022e-15,-0.172092065536633,7.40413475554245e-16,5.17138558062806e-15,-1.68925642214322e-15
49.8008609459481,-2.84497346298172e-15,-0.172070503469614,1.2171059503492e-15,6.50858297076545e-15,-1.7198014436062e-15
49.7972395025075,-2.84988087074749e-15,-0.172047903809637,3.85428553711842e-16,7.66111173706806e-15,-1.75372330003684e-15
49.7936184418139,-2.87219697307555e-15,-0.172024592994276,6.99815110165461e-16,7.94923827815718e-15,-1.79113635563274e-15
49.7899977626585,-2.89759799197945e-15,-0.172000880607188,-4.05115474334199e-16,6.13420167043332e-15,-1.82735174076913e-15
49.786377462456,-2.92232281679581e-15,-0.17197705542396,1.12890854720691e-15,4.34968079355532e-15,-1.85559419031991e-15
49.7827575374049,-2.90121682630166e-15,-0.171953382281397,7.34826906946475e-16,3.33532863497329e-15,-1.88020408593185e-15
49.7791379826552,-2.91247295938874e-15,-0.171930099782713,8.12604382129074e-16,3.4699409411729e-15,-1.90280228455113e-15
49.7755187924773,-2.88389195807334e-15,-0.171907419438016,8.71904473054788e-16,2.27360921116473e-15,-1.92385699913751e-15
49.771899960428,-2.85889667269575e-15,-0.17188552475698,-4.62366674888031e-16,1.77242957585263e-15,-1.94322405044219e-15
49.7682814795124,-2.87223908869501e-15,-0.17186457088553,3.11780809163918e-16,2.03180004609228e-15,-1.96151565016724e-15
49.7646633423406,-2.87019103372901e-15,-0.171844684704472,1.17130457109086e-15,1.42492607475347e-15,-1.97893808500152e-15
49.7610455412772,-2.83130132581444e-15,-0.17182596533472,1.16047397378993e-15,1.39731779887551e-15,-1.99634668206743e-15
49.757428068581,-2.79320585951754e-15,-0.17180848501001,8.26539005445365e-16,1.34652781222912e-15,-2.01388424876204e-15
49.7538109165354,-2.76397887356104e-15,-0.171792290283701,1.15446467362697e-15,1.99514422499134e-15,-2.03305354206539e-15
49.7501940775664,-2.76553775426729e-15,-0.171777403525288,7.51666561076701e-17,2.37290605579371e-15,-2.05438383320712e-15
49.7465775443495,-2.75296616747989e-15,-0.171763824663271,-8.09438490556356e-16,2.82834675862612e-15,-2.07627193600881e-15
49.7429613099019,-2.75891027965801e-15,-0.171751533123651,1.28288115136239e-15,3.11960888010104e-15,-2.10175455607317e-15
49.7393453676632,-2.74627637480064e-15,-0.171740489919075,2.57542987906196e-16,2.86382540693363e-15,-2.12962856253895e-15
49.7357297115616,-2.76579278109046e-15,-0.171730639840005,1.12065500447315e-15,3.25183547851101e-15,-2.15685253261804e-15
49.7321143360665,-2.80551182524421e-15,-0.171721913708539,-6.88914017836541e-16,3.59265775988208e-15,-2.18496648783244e-15
49.7284992362294,-2.82498440347801e-15,-0.17171423065272,-1.17121854336627e-16,2.88015663575871e-15,-2.2120749924049e-15
49.7248844077105,-2.82686019212971e-15,-0.171707500367807,-5.51937194995684e-16,2.79054863801551e-15,-2.23623839577679e-15
49.7212698467948,-2.87011008496223e-15,-0.171701625331266,1.66607343911013e-16,2.89570527742139e-15,-2.25999950789028e-15
49.7176555503967,-2.90126074438889e-15,-0.171696502941967,-4.19215051870338e-16,2.21915791735449e-15,-2.28306084700658e-15
49.7140415160537,-2.89254039328697e-15,-0.171692027564665,5.08034246464813e-16,1.25490090435951e-15,-2.30337956768396e-15
49.7104277419103,-2.90460212774142e-15,-0.171688092858778,-8.71277939227384e-16,3.62331073624165e-16,-2.32068584807567e-15
49.7068142266924,-2.88189770486479e-15,-0.171684592980666,1.07970133994826e-15,4.0870308612089e-16,-2.33508258696722e-15
49.7032009696768,-2.86786240410299e-15,-0.171681424313051,1.71111516268428e-15,5.02570615968781e-16,-2.34992755262574e-15
49.6995879706533,-2.84106064637536e-15,-0.171678486947055,-4.59672224129125e-16,1.52861287895052e-15,-2.36586297582869e-15
49.6959752298845,-2.85398066409475e-15,-0.17167568570193,-1.36489088281249e-15,1.25496898640379e-15,-2.38780633934358e-15
49.6923627480625,-2.85992041701096e-15,-0.171672931153023,-2.56937504717339e-15,-3.14755447647336e-18,-2.41029022831942e-15
49.6887505262625,-2.8945039815123e-15,-0.171670140578371,-1.48132869881118e-15,-4.35998690026812e-16,-2.43027175786538e-15
49.6851385658946,-3.00068855536416e-15,-0.17166723860536,-1.41232185653858e-15,-2.63764864999214e-15,-2.4443484379103e-15
49.6815268686537,-2.95927861010109e-15,-0.171664158062337,-1.09435210645553e-15,-4.1308983161495e-15,-2.44953636344068e-15
